Tipo de atividade,Data,Favorito,Título,Distância,Calorias,Tempo,FC Média,FC máxima,Training Effect Aeróbico,Cadência de corrida média,Cadência de corrida máxima,Velocidade média,Velocidade máxima,Ganho de elevação,Perda da elevação,Comprimento médio da passada,Proporção de média vertical,Oscilação vertical média,Training Stress Score®,Granularidade,Fluxo,Total de repetições,Total de conjuntos,Tempo de escalada,Tempo no fundo,Temp mínima,Intervalo de superfície,Descompressão,Tempo da melhor volta,Número de voltas,Temp máxima,Tempo em movimento,Duração,Elevação mínima,Elevação máxima
Corrida,2021-04-08 17:39:09,false,"Corrida","10,03","663","00:57:27","174","188","5,0","160","168","5:44","4:49","--","--","1,09","0,0","0,0","0,0","0,0","0,0","--","--","57:27","0:00","0,0","0:00","Não","00:08.53","11","0,0","00:57:26","00:57:27","--","--"
Corrida,2021-04-06 17:51:05,false,"Blumenau - 15 x 400 - intervalo 1 minuto caminhando","11,35","774","01:10:25","168","187","5,0","154","175","6:12","2:30","13","20","1,03","0,0","0,0","0,0","0,0","0,0","--","--","1:10:25","0:00","0,0","0:00","Não","00:01.31","33","0,0","01:10:08","01:10:25","9","26"
Corrida,2021-04-02 07:00:18,false,"Blumenau - 4 x 2km com intervalo 3min caminhando","11,18","687","01:08:33","165","186","4,1","150","171","6:08","4:36","35","37","1,08","0,0","0,0","0,0","0,0","0,0","--","--","1:08:33","0:00","0,0","0:00","Não","03:00.00","10","0,0","01:08:32","01:08:51","9","25"
Corrida,2021-03-30 17:41:01,false,"Blumenau - 12 x 300m moderado/forte com 100m leve","8,30","484","00:57:04","157","229","--","142","177","6:52","3:47","35","37","1,00","0,0","0,0","0,0","0,0","0,0","--","--","57:04","0:00","0,0","0:00","Não","00:45.62","27","0,0","00:56:45","00:57:04","9","26"
Corrida,2021-03-27 07:13:10,false,"Blumenau Corrida","12,34","904","01:20:02","173","188","5,0","152","169","6:29","5:23","156","165","1,01","0,0","0,0","0,0","0,0","0,0","--","--","1:20:02","0:00","0,0","0:00","Não","02:03.27","13","0,0","01:20:00","01:20:02","16","109"
Corrida,2021-03-23 17:41:33,false,"Blumenau - Progressivo - leve p/ forte","6,01","396","00:37:11","164","187","3,8","159","171","6:11","4:51","--","13","1,01","0,0","0,0","0,0","0,0","0,0","--","--","37:11","0:00","0,0","0:00","Não","00:03.92","4","0,0","00:37:11","00:37:11","9","25"
Corrida,2021-03-21 08:03:17,false,"Blumenau Corrida","9,42","693","01:00:01","175","188","5,0","156","172","6:22","4:27","29","34","1,01","0,0","0,0","0,0","0,0","0,0","--","--","1:00:01","0:00","0,0","0:00","Não","03:26.45","10","0,0","00:59:59","01:00:01","9","26"
Corrida,2021-03-18 06:15:35,false,"Blumenau - 6 x 2:30 - 2:30 com 2km aquec e 2km desaquec","9,41","673","01:02:37","168","192","4,5","151","171","6:39","4:13","12","14","0,99","0,0","0,0","0,0","0,0","0,0","--","--","1:02:37","0:00","0,0","0:00","Não","02:30.00","15","0,0","01:02:19","01:02:37","12","30"
Corrida,2021-03-16 06:06:17,false,"Blumenau Corrida","10,02","723","01:07:48","164","185","4,2","148","166","6:46","5:35","115","121","1,00","0,0","0,0","0,0","0,0","0,0","--","--","1:07:48","0:00","0,0","0:00","Não","00:04.70","11","0,0","01:07:46","01:07:48","17","51"
Corrida,2021-03-07 07:54:09,false,"Blumenau Corrida","15,39","1.115","01:41:24","168","184","4,6","146","170","6:35","5:19","289","268","1,03","0,0","0,0","0,0","0,0","0,0","--","--","1:41:24","0:00","0,0","0:00","Não","02:10.21","16","0,0","01:41:14","01:41:24","17","126"
Corrida,2021-03-04 06:30:41,false,"Blumenau Corrida","8,01","547","00:49:14","166","181","4,1","161","168","6:09","5:21","96","98","1,01","0,0","0,0","0,0","0,0","0,0","--","--","49:14","0:00","0,0","0:00","Não","00:02.66","9","0,0","00:49:12","00:49:14","17","52"
Corrida,2021-03-02 06:30:54,false,"Blumenau - 10 X 1'30" subida","7,77","528","01:12:42","145","182","3,2","135","177","9:22","2:31","256","265","0,79","0,0","0,0","0,0","0,0","0,0","--","--","1:12:42","0:00","0,0","0:00","Não","00:04.61","23","0,0","01:11:02","01:12:42","10","42"
Corrida,2021-02-25 06:33:07,false,"Blumenau - 2 x 5km com intervalo 5min caminhando","11,15","704","01:09:08","167","188","4,5","155","173","6:12","2:30","25","32","1,03","0,0","0,0","0,0","0,0","0,0","--","--","1:09:08","0:00","0,0","0:00","Não","03:18.82","5","0,0","01:09:02","01:09:08","10","26"
